النوع, العمر, الحالة الإجتماعية ,"المستوى التعليمى 
",دراسات عليا,مدة الخدمة فى الوظيفة الحالية,الإدارة العليا تسعى بإستمرار الى تحسين الآداء.,"
توفر الادارة للعاملين كافة المتطلبات لإكتساب المهارات اللازمة للتفاعل مع التكنولوجيا .",تشجع الإدارة العاملين على ابتكار طرق جديدة للتعامل مع التقنيات الرقمية .,"
الإدارة العليا تتفاوض بشكل فعال لإزالة العقبات .","
تجعل الإدارة العليا الموظفين متحمسين لأفكارهم المبدعة .","
تضع الإدارة العليا خطه ابداعية للمنظمة.","
تخصص الادارة العليا الوقت لمساعدة الموظفين على ايجاد طرق جديدة لتحسين الإبتكار  ","
تدعم االإدارة  الافكار الجديدة .","
تخلق الإدارة العليا مناخا يشجع على الابتكار .","
تركز الادارة العليا على تدريب الموظفين .","
تنفق الادارة على استراجيات جديدة لتطوير المنظمة .","
يتم تقييم الادارة  للعاملين بناءا على كفاءة استخدامهم للتكنولوجيا الجديدة .","
تشجع الإدارة العاملين على استخدام الأساليب المبتكره فى العمل .","
تضع الإدارة جداول زمنية لتنفيذ افكار العاملين الجديدة.","
تخصص الإدارة وقت كاف للتفكير عند ارتفاع درجة المخاطرة .","
يأتى العاملون  بأفكار جديدة وعملية لتحسين الآداء .",يفكر العاملون فى اساليب جديدة لتحسين ادائهم الوظيفى .,"
 يبادر العاملون فى نقل افكارهم الإبداعية للآخرين . تطبق الادارة طرق جديدة .","
لدى العاملين القدرة  على اقناع الآخرين بأفكارهم .",يروج افكاره للآخرين ويدافع عنها  .,"
يعتبر مصدر جيد للأفكار الإبداعية .","
يطرح العاملون افكار جديدة لتحسين اداء العمل .","
يأتى بحلول ابداعية للمشاكل التى تواجه عمله .","
يبحث عن تقنيات او عمليات او اساليب او افكار جديدة .","
يقترح اساليب وطرق جديدة لتحقيق الأهداف التنظيمية .","
يبحث العاملون عن افكار جديدة لتحسين استخدام التكنولوجيا بالادارة .",تجعلنى التكنولوجيا اكثر انتاجاً.  ,تساعدنى التكنولوجيا الرقمية الى تحسين الطريقة التى اعمل بها فى الجامعة . ,تؤدى التكنولوجيا الرقمية الى تحسين الطريقة التى اعمل بها فى الجامعة .,"
 تجعلنى التكنولوجيا اكثر انتاجاً.",يساهم التحول الرقمى فى تحسين كفاءتى فى العمل .,تساهم التكنولوجيا الجديدة فى ربط الجامعة بكافة المتعاملين معه من خلال المنصات الإفتراضية .,"
تساهم التكنولوجيا الجديدة فى تيسير عمليات التواصل والتفاعل مع الطلاب  .","
ادى استخدام التكنولوجيا الجديدة الى تخفيض عدد المستويات الادارية ."
أنثى,من 20 سنة - إلى أقل من 30 سنة,أعزب,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من سنة إلى اقل من5 سنوات,الى حد ما,غير موافق مطلقا,غير موافق مطلقا,غير موافق مطلقا,موافق,موافق,غير موافق,الى حد ما,موافق,موافق تماما,موافق,موافق,موافق تماما,موافق,موافق,غير موافق,غير موافق مطلقا,غير موافق مطلقا,غير موافق,غير موافق مطلقا,موافق,غير موافق مطلقا,غير موافق مطلقا,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق,موافق تماما,موافق تماما,الى حد ما
أنثى,من 40 سنة - إلى أقل من 50 سنة,أرمل,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 20 سنة – فأكثر,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما
أنثى,من 30 سنة - إلى أقل من 40 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دكتوراه,من 15سنة - إلى أقل من 20 سنة,الى حد ما,الى حد ما,غير موافق,غير موافق,غير موافق,الى حد ما,غير موافق مطلقا,غير موافق مطلقا,غير موافق مطلقا,الى حد ما,الى حد ما,غير موافق,غير موافق,الى حد ما,الى حد ما,الى حد ما,موافق,غير موافق,موافق تماما,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,موافق تماما,موافق,موافق,موافق,موافق,موافق,موافق,موافق
ذكر,من 50 سنة – فأكثر,متزوج,جامعى (ليسانس - بكالوريوس ),دكتوراه,من 20 سنة – فأكثر,موافق,موافق,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,موافق,موافق,موافق تماما,موافق,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,موافق,الى حد ما,الى حد ما,موافق,موافق,الى حد ما,موافق,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما
ذكر,من 50 سنة – فأكثر,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 20 سنة – فأكثر,موافق,موافق,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,الى حد ما,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,الى حد ما,الى حد ما,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق
أنثى,من 40 سنة - إلى أقل من 50 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 15سنة - إلى أقل من 20 سنة,الى حد ما,غير موافق,غير موافق,غير موافق,غير موافق مطلقا,غير موافق مطلقا,غير موافق مطلقا,غير موافق,غير موافق مطلقا,الى حد ما,الى حد ما,غير موافق,غير موافق,غير موافق مطلقا,غير موافق,غير موافق,غير موافق مطلقا,غير موافق مطلقا,غير موافق,غير موافق,غير موافق,غير موافق,غير موافق,غير موافق,موافق,غير موافق,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما
أنثى,من 40 سنة - إلى أقل من 50 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دكتوراه,من 15سنة - إلى أقل من 20 سنة,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,غير موافق,غير موافق,موافق,موافق,الى حد ما,الى حد ما,موافق,موافق,موافق,غير موافق,موافق,الى حد ما,الى حد ما,غير موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,غير موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما
ذكر,من 30 سنة - إلى أقل من 40 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دكتوراه,من 10سنة - إلى أقل من 15 سنة,موافق,موافق,الى حد ما,غير موافق,غير موافق,الى حد ما,غير موافق,غير موافق,الى حد ما,الى حد ما,الى حد ما,غير موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,غير موافق,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,غير موافق
ذكر,من 50 سنة – فأكثر,متزوج,جامعى (ليسانس - بكالوريوس ),دكتوراه,من 15سنة - إلى أقل من 20 سنة,موافق تماما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,غير موافق,غير موافق,غير موافق,غير موافق,غير موافق,الى حد ما,غير موافق,غير موافق,غير موافق,غير موافق,غير موافق,الى حد ما,غير موافق,غير موافق,الى حد ما,موافق,موافق تماما,موافق تماما,موافق تماما,موافق,موافق,موافق تماما,موافق تماما
ذكر,من 50 سنة – فأكثر,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 20 سنة – فأكثر,موافق,موافق,موافق,موافق,موافق,موافق,الى حد ما,موافق,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,غير موافق,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق,موافق تماما,موافق
ذكر,من 50 سنة – فأكثر,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 20 سنة – فأكثر,الى حد ما,غير موافق,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,موافق,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,الى حد ما,موافق,موافق,موافق,موافق,موافق تماما,موافق,موافق تماما,موافق,موافق
ذكر,من 50 سنة – فأكثر,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 20 سنة – فأكثر,موافق تماما,موافق تماما,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,موافق,الى حد ما,الى حد ما,موافق,الى حد ما,موافق,الى حد ما,موافق,موافق,موافق,الى حد ما,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق
ذكر,من 30 سنة - إلى أقل من 40 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 10سنة - إلى أقل من 15 سنة,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما
أنثى,من 40 سنة - إلى أقل من 50 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 15سنة - إلى أقل من 20 سنة,موافق,موافق تماما,الى حد ما,الى حد ما,موافق,الى حد ما,موافق تماما,موافق,موافق,موافق تماما,الى حد ما,الى حد ما,موافق,موافق,الى حد ما,موافق تماما,الى حد ما,موافق,الى حد ما,الى حد ما,غير موافق,الى حد ما,الى حد ما,موافق تماما,موافق تماما,الى حد ما,الى حد ما,غير موافق,موافق,موافق,موافق,الى حد ما,موافق,غير موافق
أنثى,من 20 سنة - إلى أقل من 30 سنة,أعزب,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من سنة إلى اقل من5 سنوات,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,الى حد ما,موافق,موافق,موافق,موافق,موافق,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق
ذكر,من 40 سنة - إلى أقل من 50 سنة,متزوج,جامعى (ليسانس - بكالوريوس ),دبلومة - ماجستير,من 20 سنة – فأكثر,موافق تماما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,غير موافق,موافق,الى حد ما,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق تماما
أنثى,من 30 سنة - إلى أقل من 40 سنة,مطلق,جامعى (ليسانس - بكالوريوس ),دكتوراه,من 10سنة - إلى أقل من 15 سنة,غير موافق,غير موافق مطلقا,غير موافق,غير موافق,غير موافق مطلقا,غير موافق,غير موافق,الى حد ما,غير موافق,غير موافق,غير موافق,غير موافق مطلقا,الى حد ما,غير موافق,غير موافق,موافق,موافق تماما,موافق,موافق,الى حد ما,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق,موافق,موافق تماما,موافق تماما,موافق تماما,موافق تماما,موافق,موافق,غير موافق مطلقا
أنثى,من 40 سنة - إلى أقل من 50 سنة,متزوج,معهد عالى,دبلومة - ماجستير,من 20 سنة – فأكثر,الى حد ما,الى حد ما,الى حد ما,موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,الى حد ما,غير موافق,الى حد ما,غير موافق,موافق,غير موافق,غير موافق,غير موافق,الى حد ما,الى حد ما,الى حد ما,الى حد ما,موافق,موافق,موافق,غير موافق,موافق تماما,موافق,موافق,موافق,موافق,الى حد ما,موافق,موافق
